cliente_id,idade,plano,ciclo,valor_mensal,regiao,canal_aquisicao,nps,data_assinatura,data_cancelamento,data_ultimo_acesso,data_extracao,dias_ativos_ult_mes,horas_assistidas_total,motivo_cancelamento,churn
5746,36,BASICO,Anual,19.9,Sudeste,Indicacao,6,2023-04-11,,2024-01-29,2024-01-31,15,276,,0
4100,48,Padrão,Mensal,34.9,Sudeste,orgânico,8,2022-06-02,,2024-01-30,2024-01-31,14,394.9,,0
4690,48,Premium,Mensal,55.9,Nordeste,orgânico,4,2021-03-20,2022-11-17,2022-10-31,2024-01-31,5,257,PREÇO,1
3454,46,BASICO,Anual,1990,Sul,Google,10,2023-04-02,,2024-01-13,2024-01-31,19,385,,0
1437,46,Basico,Mensal,19.9,Norte,indicação,8,2023-04-21,,2024-01-16,2024-01-31,11,205.3,,0
1521,27,premium,Mensal,55.9,Sul,Organico,10,2022-11-22,,2024-01-20,2024-01-31,7,200.9,,0
4918,37,Basico,Mensal,19.9,?,instagram,4,2023-10-12,2023-12-28,2023-12-09,2024-01-31,5,29.6,problema tecnico,1
3842,29,Padrão,Mensal,34.9,Sudeste,IG,9,2022-01-21,,2024-01-12,2024-01-31,22,900,,0
1958,48,BASICO,Mensal,19.9,Sudeste,Indicacao,2,2023-04-26,2023-12-17,2023-12-07,2024-01-31,5,65.4,Falta de tempo,1
3475,43,BASICO,Mensal,19.9,Sudeste,indicação,10,2023-10-07,,2024-01-25,2024-01-31,11,55.3,,0
4356,30,básico,Mensal,19.9,?,Organico,8,2020-12-22,,2024-01-11,2024-01-31,15,900,,0
3426,48,premium,Anual,55.9,Nordeste,indicação,5,2023-08-18,2023-11-16,2023-07-02,2024-01-31,2,17,Preço,1
5127,29,Padrao,Mensal,34.9,Sudeste,Organico,8,2023-05-16,,2024-01-02,2024-01-31,7,87.8,,0
3823,26,BASICO,Mensal,19.9,Sul,IG,7,2023-10-21,,2024-01-16,2024-01-31,11,54.9,,0
5581,18,Padrao,Mensal,3490,Sudeste,orgânico,7,2023-07-22,,2024-01-27,2024-01-31,15,160.7,,0
2624,20,padrão,Mensal,34.9,Sul,google,6,2022-04-05,,2024-01-26,2024-01-31,12,378.2,,0
5842,1,BASICO,Mensal,19.9,Sudeste,Google,9,2023-05-25,,2024-01-22,2024-01-31,11,170.1,,0
5149,27,padrão,Mensal,34.9,Sudeste,Organico,3,2022-04-16,2023-04-15,2023-03-29,2024-01-31,2,76.9,Falta de tempo,1
5858,21,Premium,Anual,55.9,Sudeste,Google,1,2023-02-22,2023-10-02,2023-09-17,2024-01-31,2,40.9,problema tecnico,1
3105,52,padrão,Mensal,34.9,Sudeste,Google,6,2022-01-20,,2024-01-27,2024-01-31,13,718,,0
1020,38,Padrao,Mensal,34.9,Sul,Organico,4,2022-10-02,2023-08-26,2023-07-27,2024-01-31,1,23.2,Pouco conteúdo novo,1
3041,19,padrão,Mensal,34.9,Sul,Instagram,7,2023-03-05,,2024-01-19,2024-01-31,19,374.8,,0
1777,26,premium,Mensal,55.9,Sul,Google,7,2022-02-19,,2024-01-04,2024-01-31,9,317.9,,0
2292,32,padrão,Mensal,34.9,Sudeste,instagram,2,2023-08-15,2023-12-25,2023-12-07,2024-01-31,3,34.9,Pouco conteúdo novo,1
2808,40,BASICO,Mensal,19.9,Centro-Oeste,Google,3,2023-10-12,2024-01-03,2023-12-15,2024-01-31,2,14.1,Pouco conteúdo novo,1
3419,33,padrão,Mensal,34.9,Sudeste,IG,6,2022-04-23,,2024-01-17,2024-01-31,10,361.3,,0
2771,33,Padrão,Anual,34.9,Norte,Instagram,5,2023-11-30,2024-01-05,2023-12-12,2024-01-31,3,11.5,Outro,1
2741,44,Basico,Mensal,19.9,Sudeste,Organico,8,2022-05-28,,2024-01-08,2024-01-31,13,520.9,,0
3821,24,padrão,Mensal,34.9,Sul,Google,4,2023-04-25,2023-09-15,2023-08-11,2024-01-31,1,21,preco,1
5979,31,Padrão,Mensal,3490,Sudeste,Instagram,10,2023-08-22,,2024-01-03,2024-01-31,14,117.2,,0
3087,42,Padrao,Mensal,34.9,Sudeste,Organico,3,2023-02-02,2023-10-01,2023-08-23,2024-01-31,3,60.1,Pouco conteúdo novo,1
4731,18,padrão,Anual,34.9,Norte,Indicacao,7,2022-05-31,,2024-01-05,2024-01-31,11,480.8,,0
3719,19,BASICO,Mensal,19.9,Sul,instagram,9,2022-03-28,,2024-01-31,2024-01-31,16,783.2,,0
5371,32,Padrão,Mensal,34.9,Nordeste,instagram,6,2023-11-14,,2024-01-10,2024-01-31,11,34.5,,0
1433,56,Padrão,Anual,3490,?,orgânico,9,2023-04-14,,2024-01-22,2024-01-31,11,180.4,,0
3537,46,BASICO,Anual,19.9,Sudeste,Organico,6,2023-04-01,2023-10-08,2023-10-04,2024-01-31,8,128.5,Falta de tempo,1
3606,38,premium,Mensal,55.9,Sudeste,IG,8,2023-01-03,,2024-01-08,2024-01-31,13,366.9,,0
5208,26,Basico,Anual,19.9,Sul,Organico,7,2023-03-10,,2024-01-24,2024-01-31,14,223.6,,0
2410,18,Basico,Anual,19.9,Sul,orgânico,7,2023-05-28,,2024-01-08,2024-01-31,16,297.1,,0
5636,43,Premium,Anual,55.9,Sudeste,Indicacao,6,2023-07-22,2023-12-30,2023-12-08,2024-01-31,2,17,PREÇO,1
5870,40,Padrao,Mensal,34.9,Sudeste,orgânico,7,2023-07-02,,2024-01-29,2024-01-31,15,167.6,,0
5906,61,premium,Mensal,55.9,Sudeste,Organico,2,2023-10-14,2024-01-02,2023-11-30,2024-01-31,1,5.2,PREÇO,1
4776,61,básico,Anual,1990,Sudeste,orgânico,4,2023-10-01,2023-12-15,2023-11-25,2024-01-31,6,47.8,problema tecnico,1
3809,0,Padrão,Mensal,3490,Sul,instagram,5,2022-06-13,,2024-01-13,2024-01-31,14,636.8,,0
2736,32,Premium,Mensal,55.9,Sul,Google,6,2023-07-04,2023-11-21,2023-11-04,2024-01-31,5,65.6,Pouco conteúdo novo,1
2563,23,Basico,Mensal,19.9,Sul,IG,3,2022-11-26,2023-12-14,2023-11-06,2024-01-31,3,86,Pouco conteúdo novo,1
3181,50,Padrão,Mensal,34.9,Nordeste,orgânico,6,2023-08-15,,2024-01-25,2024-01-31,22,227.1,,0
4454,44,Basico,Mensal,19.9,Sudeste,Organico,9,2022-10-19,,2024-01-02,2024-01-31,17,566.7,,0
