cliente_id,etapa
2165,assistiu_1a_aula
3269,criou_conta
4589,criou_conta
5228,visitou_site
4620,assistiu_1a_aula
3399,criou_conta
4678,renovou
1099,assinou plano
1436,criou_conta
3147,visitou_site
2802,criou_conta
2520,criou_conta
5090,visitou_site
3630,assistiu_1a_aula
1055,visitou_site
4758,renovou
5202,visitou_site
3506,renovou
3607,assistiu_1a_aula
4016,visitou_site
3680,assistiu_1a_aula
5458,criou_conta
1192,visitou_site
5473,visitou_site
4052,assistiu_1a_aula
4239,criou_conta
2634,assistiu_1a_aula
5647,renovou
1294,criou_conta
5058,assistiu_1a_aula
5436,criou_conta
2400,assistiu_1a_aula
3813,criou_conta
3084,criou_conta
2640,assistiu_1a_aula
3011,visitou_site
2350,assistiu_1a_aula
1641,criou_conta
3012,assinou_plano
5851,renovou
3423,visitou_site
2578,visitou_site
5589,assistiu_1a_aula
1585,visitou_site
4848,criou_conta
1706,criou_conta
5117,criou_conta
4197,assistiu_1a_aula
2336,visitou_site
1564,criou_conta
1285,criou_conta
2744,visitou_site
5344,criou_conta
4646,criou_conta
3222,assistiu_1a_aula
1081,criou_conta
2653,renovou
3093,renovou
1360,assistiu_1a_aula
4907,renovou
4905,visitou_site
5785,assistiu_1a_aula
2585,visitou_site
3461,renovou
3170,criou_conta
5747,visitou_site
4918,visitou_site
5540,criou_conta
1569,assistiu_1a_aula
4756,visitou_site
5803,criou_conta
4896,visitou_site
1715,renovou
3496,visitou_site
2203,criou_conta
4052,renovou
5654,visitou_site
1803,renovou
1490,criou_conta
5919,assistiu_1a_aula
2628,visitou_site
5295,visitou_site
4759,criou_conta
1681,renovou
3432,assistiu_1a_aula
2764,assinou_plano
5200,visitou_site
2561,assistiu_1a_aula
2973,renovou
5982,criou_conta
2221,renovou
3910,criou_conta
2969,assinou_plano
1678,assistiu_1a_aula
3433,assistiu_1a_aula
5335,criou_conta
5967,criou_conta
1526,criou_conta
4989,visitou_site
2913,visitou_site
1169,visitou_site
1922,criou_conta
5122,visitou_site
1506,visitou_site
3664,Assinou_Plano
2391,visitou_site
3103,criou_conta
5361,assinou_plano
4079,visitou_site
1127,criou_conta
5676,assistiu_1a_aula
2892,assistiu_1a_aula
4102,visitou_site
5033,visitou_site
